platform,name,zscore_combined,openssf_badge_tiered_percentage
npm,lodash._arrayeach,1.171642971,Not Participating
npm,lodash._baseassign,1.171642971,Not Participating
npm,lodash.hasin,1.171642971,Not Participating
npm,lodash._basecallback,1.171642971,Not Participating
npm,lodash._baseeach,1.171642971,Not Participating
npm,lodash.topairs,1.171642971,Not Participating
npm,lodash.pairs,1.171642971,Not Participating
npm,lodash._basecopy,1.171642971,Not Participating
npm,lodash._basematches,1.171642971,Not Participating
npm,lodash._baseclone,1.171642971,Not Participating
npm,lodash._createassigner,1.171642971,Not Participating
npm,is-extendable,1.145097994,Not Participating
npm,is-data-descriptor,1.140021058,Not Participating
npm,is-descriptor,1.139631194,Not Participating
npm,is-accessor-descriptor,1.139514905,Not Participating
npm,inflight,1.128295359,Not Participating
npm,object-assign,1.122516698,Not Participating
npm,core-js,1.113390051,Not Participating
npm,lodash._basecompareascending,1.104843134,Not Participating
npm,lodash._compareascending,1.104843134,Not Participating
npm,guid,1.104843134,Not Participating
npm,lodash._basesortby,1.104843134,Not Participating
npm,lodash.map,1.104843134,Not Participating
npm,locate-path,1.097273403,Not Participating
npm,p-locate,1.085137548,Not Participating
npm,cross-spawn,1.08405189,Not Participating
npm,fs.realpath,1.07034914,Not Participating
npm,bytes,1.052845615,Not Participating
npm,browserslist,0.993362234,Not Participating
npm,pify,0.98799633,Not Participating
npm,esprima,0.975572557,Not Participating
npm,emoji-regex,0.961099532,Not Participating
npm,chokidar,0.955037725,Not Participating
npm,has-color,0.948586204,Not Participating
npm,fs-extra,0.944046431,Not Participating
npm,safer-buffer,0.914963997,Not Participating
npm,is-glob,0.905385811,Not Participating
npm,requirejs,0.896630776,Not Participating
npm,setprototypeof,0.889611325,Not Participating
npm,micromatch,0.88649217,Not Participating
npm,pseudomap,0.880669491,Not Participating
npm,fast-deep-equal,0.874435601,Not Participating
npm,arr-diff,0.868514707,Not Participating
npm,@babel/parser,0.852149508,27
npm,which,0.85174663,Not Participating
npm,har-validator,0.839907181,Not Participating
npm,depd,0.806269469,Not Participating
npm,path-to-regexp,0.792371716,Not Participating
npm,process-nextick-args,0.778337603,Not Participating
npm,cliui,0.770547322,Not Participating
npm,fsevents,0.749446397,Not Participating
npm,extend-shallow,0.74661996,Not Participating
npm,is-plain-object,0.734406957,Not Participating
npm,bluebird,0.731208697,Not Participating
npm,raw-body,0.727591564,Not Participating
npm,get-stream,0.711752872,Not Participating
npm,end-of-stream,0.70691379,Not Participating
npm,execa,0.69437106,Not Participating
npm,pkg-dir,0.694369546,Not Participating
npm,xtend,0.686000303,Not Participating
npm,react-is,0.677729891,81
npm,path-exists,0.675081239,Not Participating
npm,assert-plus,0.6633127,Not Participating
npm,core-util-is,0.663051867,Not Participating
npm,lodash.keys,0.657870217,Not Participating
npm,object-keys,0.637234678,Not Participating
npm,node-fetch,0.632598185,Not Participating
npm,statuses,0.630967916,Not Participating
npm,p-limit,0.62785275,Not Participating
npm,js-tokens,0.6264994,Not Participating
npm,keypress,0.625915646,Not Participating
npm,rc-util,0.624793354,Not Participating
npm,wrap-ansi,0.601709245,Not Participating
npm,@babel/template,0.597675916,27
npm,pump,0.597128835,Not Participating
npm,globals,0.596012317,Not Participating
npm,number-is-nan,0.587765147,Not Participating
npm,json5,0.582916012,Not Participating
npm,extsprintf,0.580216595,Not Participating
npm,json-schema-traverse,0.579095227,Not Participating
npm,extend,0.55963592,Not Participating
npm,resolve-from,0.55594592,Not Participating
npm,base64-js,0.553678467,Not Participating
npm,@babel/generator,0.553291041,27
npm,make-dir,0.551122968,Not Participating
npm,loader-utils,0.542915886,Not Participating
npm,source-map-support,0.539560125,Not Participating
npm,argparse,0.535160036,Not Participating
npm,wordwrap,0.531361465,Not Participating
npm,type-fest,0.53007903,Not Participating
npm,concat-stream,0.526765041,Not Participating
npm,send,0.525775812,Not Participating
npm,finalhandler,0.517957616,Not Participating
npm,glob-parent,0.510709809,Not Participating
npm,minipass,0.506716166,Not Participating
npm,fill-range,0.502557456,Not Participating
npm,path-type,0.494674107,Not Participating
npm,react,0.489904726,81
npm,util-deprecate,0.489626733,Not Participating
npm,fast-json-stable-stringify,0.48134275,Not Participating
npm,jsesc,0.473379464,Not Participating
npm,combined-stream,0.470676512,Not Participating
npm,is-arrayish,0.46883809,Not Participating
npm,accepts,0.455389212,Not Participating
npm,find-cache-dir,0.451214378,Not Participating
npm,domelementtype,0.448853378,Not Participating
npm,postcss-selector-parser,0.447775589,Not Participating
npm,noncharacters,0.445829535,Not Participating
npm,@babel/code-frame,0.443092698,27
npm,readdirp,0.433616121,Not Participating
npm,sax,0.428026671,Not Participating
npm,normalize-path,0.425016378,Not Participating
npm,anymatch,0.423633208,Not Participating
npm,prop-types,0.423060778,81
npm,mimic-fn,0.420432357,Not Participating
npm,signal-exit,0.414000942,Not Participating
npm,buffer,0.412730068,Not Participating
npm,estraverse,0.411285775,Not Participating
npm,hoist-non-react-statics,0.389770297,Not Participating
npm,react-dom,0.387318356,81
npm,cookie,0.387138435,Not Participating
npm,ini,0.381384867,Not Participating
npm,has-values,0.376754052,Not Participating
npm,coffee-script,0.37590456,Not Participating
npm,esutils,0.374657021,Not Participating
npm,lodash.get,0.373411547,Not Participating
npm,is-extglob,0.37039695,Not Participating
